University Name,Subject,Ranking Instituion,Year,World Rank,Total Score
Huaiyin Normal University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Iowa State University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Johannes Kepler University Linz,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
King's College London,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Kyushu University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Leibniz University Hannover,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Linkoping University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
McMaster University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Memorial University of Newfoundland,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Nagoya University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Nanjing University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Nanjing University of Science and Technology,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
National Autonomous University of Mexico,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
National Taiwan University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
National Technical University of Athens,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
North China Electric Power University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Northeastern University (Boston),Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Northeastern University (Shenyang),Mathematics,ShanghaiRanking-ARWU,2020,201-300,
North-West University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Northwestern Polytechnical University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Norwegian University of Science and Technology - NTNU,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Osaka University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Pohang University of Science and Technology,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Politecnico di Bari,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Polytechnic University of Madrid,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Polytechnic University of Turin,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Polytechnic University of Valencia,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Quaid-i-Azam University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Radboud University Nijmegen,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Renmin University of China,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Roma Tre University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Shandong University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Shanghai University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Sichuan Normal University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Southwest University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Swansea University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Technical University Darmstadt,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Technical University of Berlin,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Texas A&M University-Kingsville,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
The Australian National University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
The University of Auckland,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Tiangong University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Tokyo Institute of Technology,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Universidade Federal da Paraiba,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Universita Mediterranea di Reggio Calabria,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Universit???? libre de Bruxelles (ULB),Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Amsterdam,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Bari,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Bath,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Bayreuth,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Birmingham,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Bochum,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Bologna,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Burgundy,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Caen Lower Normandy,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Calabria,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
"University of California, Riverside",Mathematics,ShanghaiRanking-ARWU,2020,201-300,
"University of California, Santa Cruz",Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Campinas,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Central Florida,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
University of Cologne,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
