Rank,University,Country,Score,Free
213,"Rutgers, The State University of New Jersey--New Brunswick",United States,57.9,免费评估
213,Universite Paris-Est (ComUE),France,57.9,免费评估
215,University of Arizona,United States,57.8,免费评估
216,布鲁内尔大学Brunel University,United Kingdom,57.7,免费评估
216,Utrecht University,Netherlands,57.7,免费评估
218,宾夕法尼亚大学University of Pennsylvania,United States,57.6,免费评估
218,University of Texas--Arlington,United States,57.6,免费评估
220,Vienna University of Technology,Austria,57.4,免费评估
221,University of Central Florida,United States,57.3,免费评估
222,伦敦大学玛丽女王学院Queen Mary University of London,United Kingdom,57.2,免费评估
222,Universiti Putra Malaysia,Malaysia,57.2,免费评估
224,Kyushu University,Japan,57.1,免费评估
225,National University of Defence Technology - China,China,57.0,免费评估
225,Texas A&M University at Qatar,Qatar,57.0,免费评估
227,China University of Geosciences,China,56.9,免费评估
228,Ferdowsi University Mashhad,Iran,56.5,免费评估
229,Illinois Institute of Technology,United States,56.4,免费评估
230,Indian Institute of Technology Kanpur,India,56.3,免费评估
231,Babol Noshirvani University of Technology,Iran,56.2,免费评估
231,克兰菲尔德大学Cranfield University,United Kingdom,56.2,免费评估
231,University of Connecticut,United States,56.2,免费评估
234,Linköping University,Sweden,56.1,免费评估
235,Darmstadt University of Technology,Germany,56.0,免费评估
235,Universidad Tecnica Federico Santa Maria,Chile,56.0,免费评估
237,East China University of Science and Technology,China,55.8,免费评估
238,拉夫堡大学Loughborough University,United Kingdom,55.7,免费评估
238,Xiamen University,China,55.7,免费评估
240,Hefei University of Technology,China,55.5,免费评估
240,Middle East Technical University,Turkey,55.5,免费评估
242,Nankai University,China,55.2,免费评估
242,Rensselaer Polytechnic Institute,United States,55.2,免费评估
244,利哈伊大学Lehigh University,United States,55.1,免费评估
244,"弗吉尼亚大学University of Virginia,Main Campus",United States,55.1,免费评估
246,Indian Institute of Science,India,55.0,免费评估
247,卡迪夫大学Cardiff University,United Kingdom,54.9,免费评估
248,南澳大学The University of South Australia,Australia,54.8,免费评估
248,Warsaw University of Technology,Poland,54.8,免费评估
250,Tel Aviv University,Israel,54.7,免费评估
251,University of Pisa,Italy,54.6,免费评估
252,Aveiro University,Portugal,54.3,免费评估
252,格拉斯哥大学University of Glasgow,United Kingdom,54.3,免费评估
254,University of Cincinnati,United States,54.2,免费评估
255,迪肯大学Deakin University,Australia,54.1,免费评估
256,McMaster University,Canada,54.0,免费评估
257,Bohai University,China,53.8,免费评估
257,Lulea University of Technology,Sweden,53.8,免费评估
257,University of Qatar,Qatar,53.8,免费评估
260,Queen's University,Canada,53.7,免费评估
260,Technical University of Dresden,Germany,53.7,免费评估
262,University College Dublin,Ireland,53.6,免费评估
263,伦敦国王学院King's College London,United Kingdom,53.4,免费评估
263,华威大学The University of Warwick,United Kingdom,53.4,免费评估
265,Babes-Bolyai University,Romania,53.3,免费评估
265,Boğaziçi University,Turkey,53.3,免费评估
265,Osaka University,Japan,53.3,免费评估
268,University of Ontario Institute Technology,Canada,53.2,免费评估
268,University of Victoria,Canada,53.2,免费评估
268,University of Zaragoza,Spain,53.2,免费评估
271,赫瑞瓦特大学Heriot Watt University,United Kingdom,53.1,免费评估
272,Tampere University of Technology,Finland,53.0,免费评估
273,Beijing University of Technology,China,52.7,免费评估
274,University of Perugia,Italy,52.6,免费评估
275,University of Southern Denmark,Denmark,52.5,免费评估
276,诺桑比亚大学Northumbria University,United Kingdom,52.4,免费评估
277,King Mongkuts University of Technology Thonburi,Thailand,52.3,免费评估
277,University at Buffalo--SUNY,United States,52.3,免费评估
279,Aarhus University,Denmark,52.2,免费评估
279,Missouri University of Science & Technology,United States,52.2,免费评估
279,University of Patras,Greece,52.2,免费评估
282,英国女王大学Queen's University Belfast,United Kingdom,52.1,免费评估
282,University Catholique of Louvain,Belgium,52.1,免费评估
282,Washington State University,United States,52.1,免费评估
285,Colorado School of Mines,United States,52.0,免费评估
285,斯威本科技大学Swinburne University of Technology,Australia,52.0,免费评估
287,University of Salerno,Italy,51.9,免费评估
288,Institut National des Sciences Appliquees de Lyon - INSA Lyon,France,51.8,免费评估
288,University of Ottawa,Canada,51.8,免费评估
290,Autonomous University of Barcelona,Spain,51.7,免费评估
291,Old Dominion University,United States,51.6,免费评估
292,Beijing University of Posts,China,51.5,免费评估
292,Pusan National University,South Korea,51.5,免费评估
292,Shanghai University,China,51.5,免费评估
292,University of Ljubljana,Slovenia,51.5,免费评估
292,Yildiz Teknik University,Turkey,51.5,免费评估
297,Western University,Canada,51.4,免费评估
298,Shenzhen University,China,51.2,免费评估
299,兰卡斯特大学Lancaster University,United Kingdom,51.1,免费评估
299,State University of Campinas,Brazil,51.1,免费评估
299,University of Groningen,Netherlands,51.1,免费评估
299,圣母诺特丹大学University of Notre Dame,United States,51.1,免费评估
299,Uppsala University,Sweden,51.1,免费评估
304,Nagoya University,Japan,51.0,免费评估
304,Universidad Carlos III de Madrid,Spain,51.0,免费评估
304,Wageningen University and Research Center,Netherlands,51.0,免费评估
307,Beijing Normal University,China,50.9,免费评估
307,University of Illinois--Chicago,United States,50.9,免费评估
309,Hohai University,China,50.8,免费评估
309,University of Granada,Spain,50.8,免费评估
309,University of Pavia,Italy,50.8,免费评估
312,Czech Technical University in Prague,Czech Republic,50.7,免费评估
312,Université du Québec à Montréal,Canada,50.7,免费评估
314,University of Macau,Macau,50.6,免费评估
315,Kyung Hee University,South Korea,50.5,免费评估
316,Singapore University of Technology & Design,Singapore,50.4,免费评估
316,University of Aix-Marseille,France,50.4,免费评估
316,University of Texas--Dallas,United States,50.4,免费评估
319,University of Minho,Portugal,50.3,免费评估
319,萨里大学University of Surrey,United Kingdom,50.3,免费评估
321,Politecnico di Bari,Italy,50.2,免费评估
321,Sichuan University,China,50.2,免费评估
321,University of Erlangen Nuremberg,Germany,50.2,免费评估
324,Communaute d'Universites et Etablissements d'Aquitaine (ComUE),France,50.1,免费评估
325,Donghua University,China,50.0,免费评估
326,Federal University of Santa Catarina,Brazil,49.9,免费评估
326,Northeastern University,United States,49.9,免费评估
326,Universite Toulouse III - Paul Sabatier,France,49.9,免费评估
326,University of Zagreb,Croatia,49.9,免费评估
330,National Sun Yat-Sen University,Taiwan,49.7,免费评估
331,巴斯大学University of Bath,United Kingdom,49.6,免费评估
331,范德堡大学Vanderbilt University,United States,49.6,免费评估
333,University of Florence,Italy,49.5,免费评估
334,University of Houston,United States,49.4,免费评估
335,耶鲁大学Yale University,United States,49.3,免费评估
336,Beijing University of Chemical Technology,China,49.0,免费评估
337,Lappeenranta University of Technology,Finland,48.9,免费评估
337,爱荷华大学University of Iowa,United States,48.9,免费评估
337,University of Utah,United States,48.9,免费评估
340,Yeungnam University,South Korea,48.8,免费评估
341,University of North Carolina--Chapel Hill,United States,48.6,免费评估
342,Technical University of Crete,Greece,48.5,免费评估
342,University of Pittsburgh,United States,48.5,免费评估
342,University of the Basque Country,Spain,48.5,免费评估
342,Waseda University,Japan,48.5,免费评估
346,NUI Galway,Ireland,48.4,免费评估
346,National Taipei University of Technology,Taiwan,48.4,免费评估
348,Chonbuk National University,South Korea,48.3,免费评估
348,University of Liège,Belgium,48.3,免费评估
350,Mississippi State University,United States,48.1,免费评估
350,University of Nebraska--Lincoln,United States,48.1,免费评估
352,Federal University of Rio de Janeiro,Brazil,48.0,免费评估
353,University of Texas--San Antonio,United States,47.9,免费评估
354,Clemson University,United States,47.8,免费评估
354,Languedoc-Roussillon Universites (ComUE),France,47.8,免费评估
354,University of Belgrade,Serbia,47.8,免费评估
354,University of Rome Tor Vergata,Italy,47.8,免费评估
358,National Autonomous University of Mexico,Mexico,47.7,免费评估
359,波士顿大学Boston Universiy,United States,47.6,免费评估
359,Hokkaido University,Japan,47.6,免费评估
359,University of Castilla-La Mancha,Spain,47.6,免费评估
359,University of Pretoria,South Africa,47.6,免费评估
363,Guangdong University of Technology,China,47.5,免费评估
363,University of Barcelona,Spain,47.5,免费评估
363,University of Saskatchewan,Canada,47.5,免费评估
363,University of Vigo,Spain,47.5,免费评估
367,阿伯丁大学University of Aberdeen,United Kingdom,47.4,免费评估
367,University of Science & Technology (UST),South Korea,47.4,免费评估
369,特拉华大学University of Delaware,United States,46.9,免费评估
370,斯旺西大学Swansea University,United Kingdom,46.8,免费评估
370,Universiti Malaysia Pahang,Malaysia,46.8,免费评估
372,University of Western Sydney,Australia,46.6,免费评估
373,Anna University Chennai,India,46.5,免费评估
373,Cairo University,Egypt,46.5,免费评估
373,Jiangnan University,China,46.5,免费评估
373,Laval University,Canada,46.5,免费评估
373,Louisiana State University--Baton Rouge,United States,46.5,免费评估
378,University of Agder,Norway,46.4,免费评估
378,University of Oulu,Finland,46.4,免费评估
380,UNESP - Universidade Estadual Paulista,Brazil,46.3,免费评估
381,University of Hannover,Germany,46.2,免费评估
381,Worcester Polytechnic Institute,United States,46.2,免费评估
383,Universite Bourgogne Franche-Comte (ComUE),France,46.1,免费评估
384,Indian Institute of Technology (IIT) - Guwahati,India,46.0,免费评估
384,Soochow University,China,46.0,免费评估
386,Chulalongkorn University,Thailand,45.9,免费评估
386,Free University of Brussels,Belgium,45.9,免费评估
386,Oregon State University,United States,45.9,免费评估
386,University of Massachusetts--Amherst,United States,45.9,免费评估
386,Wroclaw University of Technology,Poland,45.9,免费评估
391,Universiti Teknologi Petronas,Malaysia,45.8,免费评估
392,University of Palermo,Italy,45.7,免费评估
393,Florida State University,United States,45.5,免费评估
393,National University of Sciences & Technology - Pakistan,Pakistan,45.5,免费评估
393,University of Genoa,Italy,45.5,免费评估
396,AGH University of Science & Technology,Poland,45.4,免费评估
396,Scuola Superiore Sant'Anna,Italy,45.4,免费评估
396,Ulsan National Institute of Science & Technology,South Korea,45.4,免费评估
399,Carleton University,Canada,45.3,免费评估
399,Kyungpook National University,South Korea,45.3,免费评估
399,University of Chile,Chile,45.3,免费评估
402,Southwest University - China,China,45.1,免费评估
402,University of Akron,United States,45.1,免费评估
404,Federal University of Rio Grande do Sul,Brazil,45.0,免费评估
404,University College Cork,Ireland,45.0,免费评估
406,Braunschweig University of Technology,Germany,44.9,免费评估
406,University of Calabria,Italy,44.9,免费评估
406,University of South Florida,United States,44.9,免费评估
409,克拉克森大学Clarkson University,United States,44.7,免费评估
409,Firat University,Turkey,44.7,免费评估
411,University of Oviedo,Spain,44.5,免费评估
411,普利茅斯大学University of Plymouth,United Kingdom,44.5,免费评估
413,Graz University of Technology,Austria,44.4,免费评估
413,University of Cagliari,Italy,44.4,免费评估
415,Auburn University,United States,44.3,免费评估
415,Inha University,South Korea,44.3,免费评估
417,Alexandria University,Egypt,43.9,免费评估
417,University of Aquila,Italy,43.9,免费评估
419,M. V. Lomonosov Moscow State University,Russia,43.8,免费评估
419,Zhejiang University of Technology,China,43.8,免费评估
421,Taiyuan University of Technology,China,43.6,免费评估
422,Utah State University,United States,43.5,免费评估
423,Colorado State University,United States,43.4,免费评估
423,Hacettepe University,Turkey,43.4,免费评估
423,Jiangsu University,China,43.4,免费评估
423,Jilin University,China,43.4,免费评估
427,Ecole de Technologie Superieure - Canada,Canada,43.1,免费评估
427,National and Kapodistrian University of Athens,Greece,43.1,免费评估
429,Lanzhou University,China,43.0,免费评估
429,Nanjing University of Technology,China,43.0,免费评估
431,University of Ulsan,South Korea,42.9,免费评估
432,Ben-Gurion University of the Negev,Israel,42.8,免费评估
432,杜伦大学Durham University,United Kingdom,42.8,免费评估
432,埃克塞特大学University of Exeter,United Kingdom,42.8,免费评估
432,雷丁大学University of Reading,United Kingdom,42.8,免费评估
436,Texas Tech University,United States,42.7,免费评估
437,University of Freiburg,Germany,42.6,免费评估
437,University of Santiago of Compostela,Spain,42.6,免费评估
439,National Central University,Taiwan,42.5,免费评估
439,Poznan University of Technology,Poland,42.5,免费评估
441,圣路易斯华盛顿大学Washington University in St Louis,United States,42.4,免费评估
442,Wuhan University of Technology,China,42.3,免费评估
443,Marche Polytechnic University,Italy,42.2,免费评估
443,Roma Tre University,Italy,42.2,免费评估
445,University of Catania,Italy,42.1,免费评估
445,West Virginia University,United States,42.1,免费评估
447,University of Maribor,Slovenia,42.0,免费评估
448,University of Witwatersrand,South Africa,41.9,免费评估
449,Budapest University of Technology & Economics,Hungary,41.8,免费评估
449,Michigan Technological University,United States,41.8,免费评估
451,University of Hawaii--Manoa,United States,41.6,免费评估
452,University of Beira Interior,Portugal,41.5,免费评估
453,Polytechnic University of Bucharest,Romania,41.4,免费评估
454,Nanjing Normal University,China,41.3,免费评估
454,University of Oslo,Norway,41.3,免费评估
454,Wayne State University,United States,41.3,免费评估
457,Jadavpur University,India,41.2,免费评估
457,University of Concepción,Chile,41.2,免费评估
459,Trinity College Dublin,Ireland,41.1,免费评估
460,Complutense University of Madrid,Spain,41.0,免费评估
460,Tallinn University of Technology,Estonia,41.0,免费评估
462,University of Guilan,Iran,40.9,免费评估
462,University of Kansas,United States,40.9,免费评估
464,Bilkent University,Turkey,40.8,免费评估
464,Dortmund University of Technology,Germany,40.8,免费评估
464,University of KwaZulu Natal,South Africa,40.8,免费评估
467,Shanghai Maritime University,China,40.7,免费评估
468,Drexel University,United States,40.6,免费评估
468,New Mexico State University,United States,40.6,免费评估
468,Universidad Publica de Navarra,Spain,40.6,免费评估
471,University of Nantes,France,40.5,免费评估
472,Brno University of Technology,Czech Republic,40.4,免费评估
473,雪城大学Syracuse University,United States,40.2,免费评估
473,Universidad Nacional de Colombia,Colombia,40.2,免费评估
473,University of Antwerp,Belgium,40.2,免费评估
476,Tecnologico de Monterrey,Mexico,40.1,免费评估
476,University of Kentucky,United States,40.1,免费评估
478,Chung Ang University,South Korea,40.0,免费评估
478,Mansoura University,Egypt,40.0,免费评估
478,University of South Carolina,United States,40.0,免费评估
481,Nanjing University of Information Science & Technology,China,39.9,免费评估
481,Stevens Institute of Technology,United States,39.9,免费评估
483,Ajou University,South Korea,39.8,免费评估
484,Pontificia University Católica de Chile,Chile,39.5,免费评估
484,Tokyo University of Agriculture,Japan,39.5,免费评估
484,Université Libre de Bruxelles,Belgium,39.5,免费评估
487,University of Parma,Italy,39.4,免费评估
488,American University of Beirut,Lebanon,39.3,免费评估
488,University of Wyoming,United States,39.3,免费评估
490,Keio University,Japan,39.2,免费评估
490,Stony Brook University--SUNY,United States,39.2,免费评估
492,Dalian Maritime University,China,39.1,免费评估
492,Gwangju Institute of Science and Technology,South Korea,39.1,免费评估
492,Semnan University,Iran,39.1,免费评估
492,University of Shanghai for Science,China,39.1,免费评估
496,IMT Atlantique,France,39.0,免费评估
496,Normandie Universite,France,39.0,免费评估
498,Florida International University,United States,38.9,免费评估
498,Sejong University,South Korea,38.9,免费评估
500,University of Nis,Serbia,38.7,免费评估
501,University of Cape Town,South Africa,38.6,免费评估
502,Assiut University,Egypt,38.5,免费评估
502,Gazi University,Turkey,38.5,免费评估
502,University of Guelph,Canada,38.5,免费评估
502,University of Nova de Lisboa,Portugal,38.5,免费评估
506,凯斯西储大学Case Western Reserve University,United States,38.3,免费评估
506,University of Nevada--Reno,United States,38.3,免费评估
508,Gdansk University of Technology,Poland,38.1,免费评估
508,Hamburg University of Technology,Germany,38.1,免费评估
508,Otto von Guericke University,Germany,38.1,免费评估
508,York University,Canada,38.1,免费评估
512,Dalhousie University,Canada,37.9,免费评估
512,Ruhr University Bochum,Germany,37.9,免费评估
512,University of Missouri,United States,37.9,免费评估
512,University of Trieste,Italy,37.9,免费评估
516,坎特伯雷大学Canterbury Christ Church University,New Zealand,37.8,免费评估
517,Yanshan University,China,37.7,免费评估
518,ITMO University,Russia,37.5,免费评估
518,Universite Sorbonne Paris Cite-USPC (ComUE),France,37.5,免费评估
518,University of Wisconsin--Milwaukee,United States,37.5,免费评估
521,Hangzhou Dianzi University,China,37.4,免费评估
521,National Chung Hsing University,Taiwan,37.4,免费评估
523,Silesian University of Technology,Poland,37.3,免费评估
523,Sultan Qaboos University,Oman,37.3,免费评估
523,Universidad de Malaga,Spain,37.3,免费评估
523,University of Oklahoma,United States,37.3,免费评估
523,University of Poitiers,France,37.3,免费评估
528,National Kaohsiung University of Science & Technology,Taiwan,37.1,免费评估
528,Saint Petersburg State University,Russia,37.1,免费评估
530,Memorial University of Newfoundland,Canada,37.0,免费评估
530,National Polytechnic Institute,Mexico,37.0,免费评估
532,Oklahoma State University,United States,36.9,免费评估
532,Universite Nice Sophia Antipolis,France,36.9,免费评估
