Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:taff ratio,Spend per student,Entry Tariff,Value added score,Career after 6 mths,Free
108,亚伯大学Aberystwyth University,43.6,82.4,85.2,69.9,19.1,4.7,289.8,3.5,62.6,免费评估
109,坎特伯雷大学Canterbury Christ Church University,43.5,84.9,86.4,72.7,16.0,3,276.2,5.4,58.1,免费评估
110,纽曼大学Newman University,43.3,92.7,90.8,77.2,16.9,3.4,299.4,3.3,55.0,免费评估
111,南威尔士大学The University of South Wales,42.6,79.8,84.1,70.3,16.8,3.2,319.0,4.7,57.6,免费评估
112,威斯敏斯特大学University of Westminster,40.9,81.3,80.8,68.5,19.8,4.1,318.3,6.2,55.1,免费评估
113,贝德福德大学University of Bedfordshire,40.5,81.6,84.2,76.1,17.4,5.9,239.8,3.4,58.5,免费评估
114,利兹贝克特大学Leeds Beckett University,40.2,82.7,86.0,72.1,20.7,3.7,292.6,5.0,58.0,免费评估
115,东伦敦大学University of East London,37.7,75.9,78.5,67.9,20.0,4.9,278.5,5.8,45.5,免费评估
116,新白金汉大学Buckinghamshire New University,37.0,81.7,85.6,74.1,17.6,3.4,259.8,3.5,57.4,免费评估
117,哥比亚大学University of Cumbria,36.2,82.0,86.4,76.2,19.7,2.6,292.1,4.4,64.6,免费评估
118,伦敦都市大学London Metropolitan University,35.7,78.3,81.3,71.2,17.4,2.9,250.4,3.9,47.4,免费评估
119,格林多大学Glyndwr University,30.5,76.1,82.5,71.9,22.1,3,249.7,3.9,67.1,免费评估
