No.,Institution,Country Region,World Rank,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
102,Baylor College of Medicine,USA,101-150,52-65,0.0,0.0,23.7,29.2,39.7,19.9,,免费评估
103,凯斯西储大学Case Western Reserve University,USA,101-150,52-65,30.3,10.9,15.9,19.0,39.7,22.9,,免费评估
104,埃默里大学Emory University,USA,101-150,52-65,0.0,0.0,28.4,22.0,51.3,18.0,,免费评估
105,Free University Brussels,Belgium,101-150,3,19.9,26.6,11.3,11.8,32.7,30.4,,免费评估
106,佐治亚理工学院Georgia Institute of Technology,USA,101-150,52-65,12.6,0.0,30.3,22.4,43.2,28.1,,免费评估
107,Icahn School of Medicine at Mount Sinai,USA,101-150,52-65,0.0,0.0,26.8,25.0,36.6,21.5,,免费评估
108,印第安纳大学伯明顿主校区Indiana University Bloomington,USA,101-150,52-65,10.3,21.6,18.5,21.9,39.6,20.2,,免费评估
109,伦敦政治经济学院the London Shool of Economics and Political Science,UK,101-150,10-17,19.9,16.3,15.2,2.1,31.2,28.7,,免费评估
110,Lund University,Sweden,101-150,4,21.2,0.0,22.5,16.3,49.7,21.2,,免费评估
111,Mayo Medical School,USA,101-150,52-65,0.0,0.0,35.4,12.8,46.5,29.5,,免费评估
112,蒙纳什大学Monash University,Australia,101-150,5-7,0.0,0.0,18.4,22.6,58.6,25.5,,免费评估
113,National University of Singapore,Singapore,101-150,1,0.0,0.0,19.3,20.3,59.5,32.2,,免费评估
114,Norwegian University of Science and Technology - NTNU,Norway,101-150,2,13.6,21.0,10.1,12.9,36.4,20.0,,免费评估
115,Peking University,China,101-150,1-4,0.0,0.0,11.2,21.5,64.0,19.5,,免费评估
116,Radboud University Nijmegen,Netherlands,101-150,5-7,16.2,0.0,12.3,19.3,50.4,32.2,,免费评估
117,Seoul National University,SouthKorea,101-150,1,0.0,0.0,12.3,17.9,67.1,23.5,,免费评估
118,Shanghai Jiao Tong University,China,101-150,1-4,0.0,0.0,12.6,10.6,68.5,23.0,,免费评估
119,Swiss Federal Institute of Technology Lausanne,Switzerland,101-150,5,0.0,0.0,26.1,29.2,41.8,38.4,,免费评估
120,Technical University of Denmark,Denmark,101-150,3,5.1,11.5,21.1,14.6,39.0,23.4,,免费评估
121,格拉斯哥大学University of Glasgow,UK,101-150,10-17,7.3,0.0,24.9,18.5,42.1,22.9,,免费评估
122,新南威尔士大学The University of New South Wales,Australia,101-150,5-7,0.0,0.0,20.2,17.8,58.6,23.9,,免费评估
123,谢菲尔德大学The University of Sheffield,UK,101-150,10-17,17.8,13.3,18.4,17.5,42.8,21.7,,免费评估
124,The University of Texas M. D. Anderson Cancer Center,USA,101-150,52-65,0.0,0.0,28.2,21.4,41.3,32.4,,免费评估
125,Tohoku University,Japan,101-150,5,14.5,0.0,23.9,21.0,52.2,21.6,,免费评估
126,Tsinghua University,China,101-150,1-4,10.3,0.0,10.0,26.8,63.8,20.2,,免费评估
127,塔夫茨大学Tufts University,USA,101-150,52-65,18.5,16.3,20.1,15.4,34.9,25.7,,免费评估
128,阿尔伯塔大学University of Alberta,Canada,101-150,5-6,11.5,0.0,23.9,19.2,54.2,22.5,,免费评估
129,University of Amsterdam,Netherlands,101-150,5-7,5.1,0.0,20.8,18.8,53.3,28.2,,免费评估
130,伯明翰大学University of Birmingham,UK,101-150,10-17,18.5,9.4,20.8,12.7,44.7,20.5,,免费评估
131,"University of California, Riverside",USA,101-150,52-65,12.6,0.0,24.7,23.9,32.2,27.5,,免费评估
132,University of Frankfurt,Germany,101-150,5-8,30.3,0.0,19.6,21.2,37.7,25.3,,免费评估
133,University of Freiburg,Germany,101-150,5-8,18.5,18.8,13.0,24.4,37.9,25.3,,免费评估
134,University of Goettingen,Germany,101-150,5-8,30.8,14.9,13.1,20.0,38.9,25.6,,免费评估
135,利兹大学University of Leeds,UK,101-150,10-17,17.0,0.0,18.4,18.4,42.5,19.8,,免费评估
136,利物浦大学The University of Liverpool,UK,101-150,10-17,17.0,13.3,14.9,18.6,41.2,22.5,,免费评估
137,"马萨诸塞大学安姆斯特分校University of Massachusetts, Amherst",USA,101-150,52-65,13.6,0.0,32.0,16.9,35.5,23.2,,免费评估
138,University of Massachusetts Medical School - Worcester,USA,101-150,52-65,0.0,20.0,15.9,24.9,27.4,23.9,,免费评估
139,蒙特利尔大学University of Montreal,Canada,101-150,5-6,11.5,0.0,17.2,17.3,50.6,21.7,,免费评估
140,University of Muenster,Germany,101-150,5-8,19.2,13.3,14.8,14.7,36.0,22.2,,免费评估
141,诺丁汉大学The University of Nottingham,UK,101-150,10-17,11.5,20.0,19.1,15.9,45.9,20.1,,免费评估
142,罗彻斯特大学University of Rochester,USA,101-150,52-65,24.6,7.7,25.2,20.8,39.0,20.8,,免费评估
143,University of Sao Paulo,Brazil,101-150,1,0.0,0.0,12.2,12.1,72.0,15.5,,免费评估
144,南安普顿大学University of Southampton,UK,101-150,10-17,0.0,0.0,24.6,19.5,46.2,24.3,,免费评估
145,悉尼大学The University of Sydney,Australia,101-150,5-7,14.5,0.0,9.6,18.1,64.7,25.3,,免费评估
146,"弗吉尼亚大学University of Virginia,Main Campus",USA,101-150,52-65,0.0,0.0,27.0,27.7,43.7,19.1,,免费评估
147,University of Wageningen,Netherlands,101-150,5-7,0.0,0.0,24.1,19.8,42.0,33.0,,免费评估
148,University Paris Diderot - Paris 7,France,101-150,5-6,11.5,9.4,14.9,30.2,45.0,19.5,,免费评估
149,Weizmann Institute of Science,Israel,101-150,3,17.8,16.3,17.0,34.7,26.8,25.1,,免费评估
150,Zhejiang University,China,101-150,1-4,0.0,0.0,7.1,13.5,68.5,19.9,,免费评估
151,卡迪夫大学Cardiff University,UK,151-200,18-21,0.0,16.3,13.6,17.8,39.2,20.3,,免费评估
152,Catholic University of Louvain,Belgium,151-200,4,10.3,13.3,15.9,9.1,37.4,26.9,,免费评估
153,Erasmus University,Netherlands,151-200,8,0.0,14.9,22.0,8.0,33.6,26.4,,免费评估
154,Fudan University,China,151-200,5-7,0.0,0.0,12.2,13.1,56.1,21.5,,免费评估
155,George Mason University,USA,151-200,66-78,0.0,31.9,5.1,8.9,28.7,18.5,,免费评估
156,Hokkaido University,Japan,151-200,6-7,11.5,16.3,7.2,15.6,42.2,18.7,,免费评估
157,爱荷华州立大学Iowa State University (ISU),USA,151-200,66-78,0.0,0.0,20.1,17.1,39.3,19.8,,免费评估
158,Joseph Fourier University (Grenoble 1),France,151-200,7-8,0.0,14.9,16.3,21.9,32.9,18.2,,免费评估
159,King Abdulaziz University,SaudiArabia,151-200,1-2,0.0,0.0,29.1,7.2,47.0,13.4,,免费评估
160,King Saud University,SaudiArabia,151-200,1-2,0.0,0.0,32.5,5.9,42.5,14.1,,免费评估
161,Nanyang Technological University,Singapore,151-200,2,0.0,0.0,11.2,10.5,50.5,26.2,,免费评估
162,National Taiwan University,China-tw,151-200,1,11.5,0.0,13.9,11.6,55.5,19.4,,免费评估
163,北卡罗来纳州立大学North Carolina State University at Raleigh,USA,151-200,66-78,0.0,0.0,25.2,12.8,41.2,19.1,,免费评估
164,Oregon Health and Science University,USA,151-200,66-78,0.0,0.0,20.8,22.1,34.6,22.4,,免费评估
165,Oregon State University,USA,151-200,66-78,10.3,0.0,23.0,21.2,34.7,22.7,,免费评估
166,伦敦大学玛丽女王学院Queen Mary University of London,UK,151-200,18-21,17.8,0.0,18.1,13.7,32.1,20.7,,免费评估
167,Sapienza University of Rome,Italy,151-200,1-5,11.5,13.3,5.1,12.1,52.0,17.8,,免费评估
168,Sun Yat-sen University,China,151-200,5-7,0.0,0.0,8.7,9.9,54.9,17.9,,免费评估
169,Tel Aviv University,Israel,151-200,4,0.0,0.0,20.7,14.8,48.1,26.4,,免费评估
170,香港中文大学The Chinese University of Hong Kong,China-hk,151-200,1-2,0.0,14.1,15.1,5.2,43.1,22.0,,免费评估
171,阿德莱德大学The University of Adelaide,Australia,151-200,8,14.5,0.0,16.3,12.9,42.0,25.7,,免费评估
172,乔治亚大学University of Georgia,USA,151-200,66-78,0.0,0.0,20.6,16.7,42.1,18.1,,免费评估
