rankingName,rankingUrlCode,rankingYear,subject,rankingUrl,csvFileName
TIMES-Subject,times,2011,航空与制造工程Aeronautical and Manufacturing,https://ranking.promisingedu.com/2011-times-en-undergraduate-aeronautical_and_manufacturing,TIMES_2011_航空与制造工程Aeronautical and Manufacturing.csv
TIMES-Subject,times,2011,农业与林业学Agriculture and Forestry,https://ranking.promisingedu.com/2011-times-en-undergraduate-agriculture_and_forestry,TIMES_2011_农业与林业学Agriculture and Forestry.csv
TIMES-Subject,times,2011,美洲研究American Studies,https://ranking.promisingedu.com/2011-times-en-undergraduate-american_studies,TIMES_2011_美洲研究American Studies.csv
TIMES-Subject,times,2011,解剖与生理学Anatomy and Physiology,https://ranking.promisingedu.com/2011-times-en-undergraduate-anatomy_and_physiology,TIMES_2011_解剖与生理学Anatomy and Physiology.csv
TIMES-Subject,times,2011,人类学Anthropology,https://ranking.promisingedu.com/2011-times-en-undergraduate-anthropology,TIMES_2011_人类学Anthropology.csv
TIMES-Subject,times,2011,考古学Archaeology,https://ranking.promisingedu.com/2011-times-en-undergraduate-archaeology,TIMES_2011_考古学Archaeology.csv
TIMES-Subject,times,2011,建筑学Architecture,https://ranking.promisingedu.com/2011-times-en-undergraduate-architecture,TIMES_2011_建筑学Architecture.csv
TIMES-Subject,times,2011,艺术与设计Art and Design,https://ranking.promisingedu.com/2011-times-en-undergraduate-art_and_design,TIMES_2011_艺术与设计Art and Design.csv
TIMES-Subject,times,2011,生物科学Biological Sciences,https://ranking.promisingedu.com/2011-times-en-undergraduate-biological_sciences,TIMES_2011_生物科学Biological Sciences.csv
TIMES-Subject,times,2011,建筑Building,https://ranking.promisingedu.com/2011-times-en-undergraduate-building,TIMES_2011_建筑Building.csv
TIMES-Subject,times,2011,商科Business Studies,https://ranking.promisingedu.com/2011-times-en-undergraduate-business_studies,TIMES_2011_商科Business Studies.csv
TIMES-Subject,times,2011,凯尔特研究Celtic Studies,https://ranking.promisingedu.com/2011-times-en-undergraduate-celtic_studies,TIMES_2011_凯尔特研究Celtic Studies.csv
TIMES-Subject,times,2011,化学工程Chemical Engineering,https://ranking.promisingedu.com/2011-times-en-undergraduate-chemical_engineering,TIMES_2011_化学工程Chemical Engineering.csv
TIMES-Subject,times,2011,化学Chemistry,https://ranking.promisingedu.com/2011-times-en-undergraduate-chemistry,TIMES_2011_化学Chemistry.csv
TIMES-Subject,times,2011,土木工程Civil Engineering,https://ranking.promisingedu.com/2011-times-en-undergraduate-civil_engineering,TIMES_2011_土木工程Civil Engineering.csv
TIMES-Subject,times,2011,古典文学与古代历史Classics and Ancient History,https://ranking.promisingedu.com/2011-times-en-undergraduate-classics_and_ancient_history,TIMES_2011_古典文学与古代历史Classics and Ancient History.csv
TIMES-Subject,times,2011,通信和媒体研究Communication and Media Studies,https://ranking.promisingedu.com/2011-times-en-undergraduate-communication_and_media_studies,TIMES_2011_通信和媒体研究Communication and Media Studies.csv
TIMES-Subject,times,2011,计算机科学Computer Science,https://ranking.promisingedu.com/2011-times-en-undergraduate-computer_science,TIMES_2011_计算机科学Computer Science.csv
TIMES-Subject,times,2011,牙科Dentistry,https://ranking.promisingedu.com/2011-times-en-undergraduate-dentistry,TIMES_2011_牙科Dentistry.csv
TIMES-Subject,times,2011,"戏剧，舞蹈和电影制片学Drama, Dance and Cinematics",https://ranking.promisingedu.com/2011-times-en-undergraduate-drama_dance_and_cinematics,"TIMES_2011_戏剧，舞蹈和电影制片学Drama, Dance and Cinematics.csv"
TIMES-Subject,times,2011,东南亚研究East and South Asian Studies,https://ranking.promisingedu.com/2011-times-en-undergraduate-east_and_south_asian_studies,TIMES_2011_东南亚研究East and South Asian Studies.csv
TIMES-Subject,times,2011,经济学Economics,https://ranking.promisingedu.com/2011-times-en-undergraduate-economics,TIMES_2011_经济学Economics.csv
TIMES-Subject,times,2011,教育学Education,https://ranking.promisingedu.com/2011-times-en-undergraduate-education,TIMES_2011_教育学Education.csv
TIMES-Subject,times,2011,电子与电气工程Electrical and Elctronic Engineering,https://ranking.promisingedu.com/2011-times-en-undergraduate-electrical_and_elctronic_engineering,TIMES_2011_电子与电气工程Electrical and Elctronic Engineering.csv
TIMES-Subject,times,2011,英语English,https://ranking.promisingedu.com/2011-times-en-undergraduate-english,TIMES_2011_英语English.csv
TIMES-Subject,times,2011,食品科学Food Science,https://ranking.promisingedu.com/2011-times-en-undergraduate-food_science,TIMES_2011_食品科学Food Science.csv
TIMES-Subject,times,2011,法语French,https://ranking.promisingedu.com/2011-times-en-undergraduate-french,TIMES_2011_法语French.csv
TIMES-Subject,times,2011,一般工程General Engineering,https://ranking.promisingedu.com/2011-times-en-undergraduate-general_engineering,TIMES_2011_一般工程General Engineering.csv
TIMES-Subject,times,2011,地理与环境科学Geography and Enviornmental Sciences,https://ranking.promisingedu.com/2011-times-en-undergraduate-geography_and_enviornmental_sciences,TIMES_2011_地理与环境科学Geography and Enviornmental Sciences.csv
TIMES-Subject,times,2011,地质学Geology,https://ranking.promisingedu.com/2011-times-en-undergraduate-geology,TIMES_2011_地质学Geology.csv
TIMES-Subject,times,2011,德语German,https://ranking.promisingedu.com/2011-times-en-undergraduate-german,TIMES_2011_德语German.csv
TIMES-Subject,times,2011,历史History,https://ranking.promisingedu.com/2011-times-en-undergraduate-history,TIMES_2011_历史History.csv
TIMES-Subject,times,2011,"艺术建筑和设计史History of Art,Architecture and Design艺术、建筑和设计史",https://ranking.promisingedu.com/2011-times-en-undergraduate-history_of_art_architecture_and_design艺术、建筑和设计史,"TIMES_2011_艺术建筑和设计史History of Art,Architecture and Design艺术、建筑和设计史.csv"
TIMES-Subject,times,2011,"餐旅休闲娱乐及旅游Hospitality,Leisure,Recreation and Tourism餐旅、休闲、娱乐及旅游",https://ranking.promisingedu.com/2011-times-en-undergraduate-hospitality_leisure_recreation_and_tourism餐旅、休闲、娱乐及旅游,"TIMES_2011_餐旅休闲娱乐及旅游Hospitality,Leisure,Recreation and Tourism餐旅、休闲、娱乐及旅游.csv"
